N_total_final,N_FG_mean,peak_total,N_J_mean,extinction
8.0,11.45,329.0,26.4,0.0
0.0,6.55,325.0,22.8,1.0
116.0,15.95,329.0,54.15,0.0
6.0,6.766666666666667,325.0,29.733333333333334,0.0
40.0,11.016666666666667,339.0,46.56666666666667,0.0
2.0,9.15,333.0,28.883333333333333,0.0
2.0,7.5,329.0,19.8,0.0
0.0,8.305555555555555,328.0,30.5,1.0
46.0,11.6,339.0,56.56666666666667,0.0
2.0,7.416666666666667,330.0,26.8,0.0
2519.0,80.03333333333333,2519.0,310.43333333333334,0.0
0.0,4.5636363636363635,322.0,24.236363636363638,1.0
19.0,6.8,339.0,34.016666666666666,0.0
9.0,8.2,342.0,50.516666666666666,0.0
1.0,4.666666666666667,333.0,31.766666666666666,0.0
2.0,4.95,323.0,14.466666666666667,0.0
0.0,5.090909090909091,330.0,31.431818181818183,1.0
172.0,17.95,347.0,93.16666666666667,0.0
101.0,19.233333333333334,342.0,48.13333333333333,0.0
17.0,6.983333333333333,357.0,57.266666666666666,0.0
2211.0,77.71666666666667,2211.0,276.05,0.0
46.0,9.15,336.0,45.45,0.0
7.0,7.5,335.0,27.55,0.0
53.0,18.383333333333333,341.0,66.48333333333333,0.0
3.0,7.5,332.0,26.566666666666666,0.0
11.0,7.15,347.0,49.81666666666667,0.0
1890.0,86.26666666666667,1890.0,261.6,0.0
1.0,6.75,335.0,32.18333333333333,0.0
34.0,7.433333333333334,346.0,44.3,0.0
0.0,4.05,310.0,19.783333333333335,1.0
601.0,34.93333333333333,601.0,131.33333333333334,0.0
31.0,13.333333333333334,328.0,48.916666666666664,0.0
106.0,16.016666666666666,338.0,37.93333333333333,0.0
0.0,7.660377358490566,327.0,38.0188679245283,1.0
33.0,9.283333333333333,342.0,63.21666666666667,0.0
1.0,7.366666666666666,321.0,23.1,0.0
2.0,4.95,335.0,17.4,0.0
11.0,5.333333333333333,342.0,34.833333333333336,0.0
63.0,10.183333333333334,345.0,56.11666666666667,0.0
1.0,5.566666666666666,325.0,35.983333333333334,0.0
